X,Y,OBJECTID,STOP_NAME,STOP_CODE,NAPTAN_ATCO,ROAD_NAME,ROUTES,LIVE_BUS_ARRIVAL,OS_EASTING,OS_NORTHING,POSTCODE,DATE_UPDATED
545546.000000113,165897.99999912,5237644,Orpington Bus Station,22398,490001220D,STATION APPROACH,"R4, R6, R9",https://tfl.gov.uk/bus/stop/490001220D/,545546,165898,BR6 0SX,2024-12-11 00:00:00+00:00
533359.000000199,187910.999999539,5237645,Stamford Hill Station,2253,490001265B,AMHURST PARK,"253, 254, N253",https://tfl.gov.uk/bus/stop/490001265B/,533359,187911,N16 5AQ,2024-12-11 00:00:00+00:00
533288.000000181,187942.999999559,5237646,Stamford Hill Station,2254,490001265A,AMHURST PARK,"253, 254, N253",https://tfl.gov.uk/bus/stop/490001265A/,533288,187943,N15 6PY,2024-12-11 00:00:00+00:00
535036.000000068,185660.999999425,5237647,Clapton Girls Academy,2268,490009195N,LOWER CLAPTON ROAD,"38, 55, 106, 253, 254, 425, 488, N38, N55, N253",https://tfl.gov.uk/bus/stop/490009195N/,535036,185661,E5 8TR,2024-12-11 00:00:00+00:00
535074.999999995,185609.999999379,5237648,Clapton Girls Academy,2269,490009195S,LOWER CLAPTON ROAD,"38, 425, 488, N38",https://tfl.gov.uk/bus/stop/490009195S/,535075,185610,E5 0QR,2024-12-11 00:00:00+00:00
531507.000000151,180387.999999496,5237649,Kings Reach Building,227,490008808SE,STAMFORD STREET,"381, N343, N381",https://tfl.gov.uk/bus/stop/490008808SE/,531507,180388,SE1 8ND,2024-12-11 00:00:00+00:00
537082.999999747,163769.99999911,5237650,Addington Village Interchange,BP2328,490003101C,ADDINGTON VILLAGE INTERCHANGE,"353, 359, 433",https://tfl.gov.uk/bus/stop/490003101C/,537083,163770,CR0 9DA,2024-12-11 00:00:00+00:00
537965.000000195,178603.999999527,5237651,Mudchute Station (DLR) / Spindrift Ave,BP2335,490002061B,EAST FERRY ROAD,"135, 277, N277",https://tfl.gov.uk/bus/stop/490002061B/,537965,178604,E14 3BA,2024-12-11 00:00:00+00:00
548972.000000327,178314.999999239,5237652,The Eardley Arms,BP645,490013342E,WOOLWICH ROAD,"99, 401, 469, 601",https://tfl.gov.uk/bus/stop/490013342E/,548972,178315,DA17 5EW,2024-12-11 00:00:00+00:00
539784.00000041,177443.999999317,5237653,Vanbrugh Park Road,BP655,490014005W,WESTCOMBE PARK ROAD,386,https://tfl.gov.uk/bus/stop/490014005W/,539784,177444,SE3 7PY,2024-12-11 00:00:00+00:00
539762.000000413,177457.999999317,5237654,Vanbrugh Park Road,BP656,490014005E,WESTCOMBE PARK ROAD,386,https://tfl.gov.uk/bus/stop/490014005E/,539762,177458,SE3 7RN,2024-12-11 00:00:00+00:00
506155.000000047,172508.999999614,5237655,London Road,BP659,40004402017E,STANWELL ROAD,216,https://tfl.gov.uk/bus/stop/40004402017E/,506155,172509,TW15 3EH,2024-12-11 00:00:00+00:00
538156.00000013,171865.999999368,5237656,Southend Lane,BP661,490013572N,BROMLEY ROAD,"54, 136, 208, 320, N136, N199",https://tfl.gov.uk/bus/stop/490013572N/,538156,171866,SE6 2TQ,2024-12-11 00:00:00+00:00
537711.000000128,173716.999999373,5237657,The Catford Broadway,BP662,490013282H,RUSHEY GREEN,"75, 185",https://tfl.gov.uk/bus/stop/490013282H/,537711,173717,SE6 9SE,2024-12-11 00:00:00+00:00
535182.000000166,171600.999999487,5237658,Sydenham Station/ Westwood Hill,BP672,490009026C,WESTWOOD HILL,"122, 450",https://tfl.gov.uk/bus/stop/490009026C/,535182,171601,SE26 6QR,2024-12-11 00:00:00+00:00
542356.999999854,168640.999998917,5237659,Hawthorne Road,BP692,490007929D,SOUTHLANDS GROVE,336,https://tfl.gov.uk/bus/stop/490007929D/,542357,168641,BR1 2DQ,2024-12-11 00:00:00+00:00
541699.999999852,168803.999998936,5237660,The Lord Homesdale,BP697,490013453S,HOMESDALE ROAD,336,https://tfl.gov.uk/bus/stop/490013453S/,541700,168804,BR1 2QZ,2024-12-11 00:00:00+00:00
529757.00000013,159941.999999501,5237661,Bramley Avenue,BP2139,490004238S,WOODCOTE GROVE ROAD,"463, 633",https://tfl.gov.uk/bus/stop/490004238S/,529757,159942,CR5 2AB,2024-12-11 00:00:00+00:00
546177.000000292,179676.999999164,5237662,Nathan Way / Eastern Way,BP2144,490006344S,NATHAN WAY,301,https://tfl.gov.uk/bus/stop/490006344S/,546177,179677,SE28 0AF,2024-12-11 00:00:00+00:00
545503.000000285,179222.999999177,5237663,Boughton Road,BP2147,490004179W,NATHAN WAY,301,https://tfl.gov.uk/bus/stop/490004179W/,545503,179223,SE28 0FS,2024-12-11 00:00:00+00:00
526058.000000053,175949.999999529,5237664,William Morris Way / Sainsburys,BP215,490011918W,TOWNMEAD ROAD,"424, C3",https://tfl.gov.uk/bus/stop/490011918W/,526058,175950,SW6 2SZ,2024-12-11 00:00:00+00:00
530422.000000149,172907.999999518,5237665,Downton Avenue / Streatham Hill,BP3079,490006567E,DOWNTON AVENUE,P13,https://tfl.gov.uk/bus/stop/490006567E/,530422,172908,SW2 3TU,2024-12-11 00:00:00+00:00
530623.000000155,172857.999999522,5237666,Emsworth Street,BP3086,490006567W,DOWNTON AVENUE,P13,https://tfl.gov.uk/bus/stop/490006567W/,530623,172858,SW2 3TS,2024-12-11 00:00:00+00:00
